idx,url,status,title,title_len,meta_desc,meta_desc_len,canonical,canonical_self_referencing,og_title_present,og_image_present,favicon_present,h1_count,faq_present,faq_count,breadcrumb_count,page_type,source_sitemap
1,https://rooval-roofing.com/utah-hail-damage-roof-insurance-claim/,200,Utah Hail Damage Roofs: Honest Inspection & Documentation,57,Hail damage in Utah? We inspect and document your roof with dated photos and an honest written report - you keep the records and decide what to do next.,152,https://rooval-roofing.com/utah-hail-damage-roof-insurance-claim/,True,True,True,True,1,True,1,1,post,post-sitemap
2,https://rooval-roofing.com/utah-hail-damage-roof-checklist/,200,Utah Hail Damage Roof Checklist for Homeowners | Rooval,55,"Utah County hail can bruise shingles with no visible damage. Use this 10-minute ground check, then get a free photo-documented inspection from Rooval.",150,https://rooval-roofing.com/utah-hail-damage-roof-checklist/,True,True,True,True,1,True,1,1,post,post-sitemap
3,https://rooval-roofing.com/signs-roof-needs-replacing-utah/,200,Signs Your Roof Needs Replacing in Utah - Rooval Roofing,56,6 warning signs your Utah roof needs replacing — from curling shingles to hail damage. Rooval Roofing offers free inspections across Utah County. Call (385) 424-8810.,166,https://rooval-roofing.com/signs-roof-needs-replacing-utah/,True,True,True,True,1,True,1,1,post,post-sitemap
4,https://rooval-roofing.com/utah-gutters-before-winter/,200,5 Reasons Your Utah Gutters Need Attention Before Winter - Rooval Roofing,73,"5 reasons Utah homeowners should clean and inspect gutters before winter. Rooval Roofing offers gutter cleaning, repair, and gutter guard installation.",151,https://rooval-roofing.com/utah-gutters-before-winter/,True,True,True,True,1,True,1,1,post,post-sitemap
5,https://rooval-roofing.com/metal-roofing-utah-worth-it/,200,Metal Roofing in Utah: Is It Worth the Cost? - Rooval Roofing,61,"Is metal roofing worth the cost in Utah? We break down lifespan, energy savings, and cost vs. asphalt. Get a free estimate from Rooval Roofing today.",149,https://rooval-roofing.com/metal-roofing-utah-worth-it/,True,True,True,True,1,True,1,1,post,post-sitemap
6,https://rooval-roofing.com/how-to-choose-roofing-contractor-utah/,200,How to Choose a Roofing Contractor in Utah (Without Getting Burned) - Rooval Roofing,84,"How to choose a trustworthy roofing contractor in Utah. 7 tips to avoid storm chasers and unlicensed crews. Rooval Roofing — licensed, insured, local.",150,https://rooval-roofing.com/how-to-choose-roofing-contractor-utah/,True,True,True,True,1,True,1,1,post,post-sitemap
7,https://rooval-roofing.com/metal-roof-vs-asphalt-shingles-utah/,200,Metal Roof vs. Asphalt Shingles in Utah: Honest Comparison,58,"Metal roofs cost 2-3x more than asphalt shingles upfront. A Utah roofer breaks down lifespan, hail, snow, energy bills, and which roof fits your home.",150,https://rooval-roofing.com/metal-roof-vs-asphalt-shingles-utah/,True,True,True,True,1,True,1,1,post,post-sitemap
8,https://rooval-roofing.com/how-long-does-a-roof-last-in-utah/,200,How Long Does a Roof Last in Utah? Real Numbers | Rooval,56,"Real roof lifespans in Utah by material — asphalt, metal, tile, TPO — plus why freeze-thaw, UV, and canyon winds shorten them and how to add years back.",152,https://rooval-roofing.com/how-long-does-a-roof-last-in-utah/,True,True,True,True,1,True,1,1,post,post-sitemap
9,https://rooval-roofing.com/rooval-roofing/,200,About Us - Rooval Roofing,25,"Meet the Rooval Roofing team. Family-owned, licensed, and insured with 15+ years of Utah roofing experience. We treat every home like our own. Call (385) 424-8810.",163,https://rooval-roofing.com/about-us/,False,True,True,True,1,False,0,1,post,post-sitemap
10,https://rooval-roofing.com/,200,Lehi & Utah County Roofing Contractor | Rooval Roofing,54,"Rooval Roofing is Utah's trusted roofing contractor. We offer roof repair, replacement, metal roofing, and gutter services. Free inspections — workmanship warranty.",164,https://rooval-roofing.com/,True,True,True,True,1,False,0,0,page,page-sitemap
11,https://rooval-roofing.com/roofing-alpine-utah/,200,"Alpine, UT Roofing Company | Free Estimates | Rooval Roofing",60,"Expert roofing services in Alpine, UT from Rooval Roofing. Roof repair, replacement, gutters, and metal roofing. workmanship warranty. Free estimate.",149,https://rooval-roofing.com/roofing-alpine-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
12,https://rooval-roofing.com/roofing-highland-utah/,200,Highland UT Roof Repair & Roofing | 5.0★ Rated | Rooval Roofing,63,"Rooval Roofing provides roof installation, repair, and storm damage help in Highland, UT. Licensed Utah roofing contractor. Call (385) 424-8810 for a free quote.",161,https://rooval-roofing.com/roofing-highland-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
13,https://rooval-roofing.com/roof-replacement-cost-utah/,200,How Much Does a Roof Replacement Cost in Utah? (2026 Price Guide) - Rooval Roofing,82,"Utah roof replacement costs in 2026: most homes run about $20,000–$30,000 installed, including tear-off. See what drives the price and get an instant online estimate for your address.",183,https://rooval-roofing.com/roof-replacement-cost-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
14,https://rooval-roofing.com/tpo-flat-roofing-utah/,200,TPO & Flat Roofing Utah | Commercial & Residential | Rooval,59,"Utah TPO & flat roofing by a licensed local Lehi crew. Honest pricing, heat-welded seams, free inspections. Call (385) 424-8810 to get your quote today.",152,https://rooval-roofing.com/tpo-flat-roofing-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
15,https://rooval-roofing.com/gutter-services-utah/,200,Utah Gutter Installation & Repair | Seamless | Rooval Roofing,61,"Seamless gutter installation & repair across Utah County & Salt Lake Valley, sized for bench snow and ice dams. Call (385) 424-8810 for a free quote today.",155,https://rooval-roofing.com/gutter-services-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
16,https://rooval-roofing.com/metal-roofing-utah/,200,Metal Roofing Utah | Standing Seam Experts | Rooval Roofing,59,"Standing seam & stone-coated steel metal roofs installed across Utah County by a 5.0★ local crew. Honest pricing, free estimates. Call (385) 424-8810.",150,https://rooval-roofing.com/metal-roofing-utah/,True,True,True,True,1,False,0,1,page,page-sitemap
17,https://rooval-roofing.com/roof-repair-utah/,200,"Utah Roof Repair | Fast, Honest Fixes | 5.0★ Rooval Roofing",59,"Roof leak or storm damage? Fast, honest roof repair across Utah County & Salt Lake Valley from a 5.0-star Lehi crew. Call (385) 424-8810 for a free inspection.",159,https://rooval-roofing.com/roof-repair-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
18,https://rooval-roofing.com/roofing-lindon-utah/,200,"Lindon, UT Roofing Company | Free Estimates | Rooval Roofing",60,"Need roofing in Lindon, UT? Rooval Roofing handles roof repairs, full replacements, and gutter services. Free inspections available — call (385) 424-8810.",154,https://rooval-roofing.com/roofing-lindon-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
19,https://rooval-roofing.com/roofing-pleasant-grove-utah/,200,Pleasant Grove Roofing & Roof Repair | 5.0★ Rated | Rooval,58,"Rooval Roofing serves Pleasant Grove, UT with roof repair, replacement, gutter installation, and metal roofing. Free estimate. Trusted local contractor.",152,https://rooval-roofing.com/roofing-pleasant-grove-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
20,https://rooval-roofing.com/roofing-springville-utah/,200,Springville UT Roofing | Free Estimates | Rooval Roofing,56,"Top roofing contractor in Springville, UT. Rooval Roofing offers roof repair, replacement, metal roofing, and gutter services. Free inspection — call today.",156,https://rooval-roofing.com/roofing-springville-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
21,https://rooval-roofing.com/roofing-salt-lake-city-utah/,200,Salt Lake City UT Roofing | Free Estimates | Rooval Roofing,59,"Top-rated roofing contractor in Salt Lake City, UT. Rooval Roofing handles roof repair, replacement, metal roofing, and storm damage. Free inspection available.",160,https://rooval-roofing.com/roofing-salt-lake-city-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
22,https://rooval-roofing.com/roofing-murray-utah/,200,Murray Roofing Company & Roof Repair | 5.0★ Rated | Rooval,58,"Rooval Roofing offers professional roof repair and replacement in Murray, UT. Storm damage experts. Licensed, insured, and trusted across Salt Lake County.",155,https://rooval-roofing.com/roofing-murray-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
23,https://rooval-roofing.com/roofing-sandy-utah/,200,Sandy UT Roof Repair & Roofing | 5.0★ Rated | Rooval Roofing,60,"Looking for a roofer in Sandy, UT? Rooval Roofing provides roof installation, repair, and gutter services in Sandy. Free estimate — call (385) 424-8810.",152,https://rooval-roofing.com/roofing-sandy-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
24,https://rooval-roofing.com/roofing-draper-utah/,200,Draper Roofing Company & Roof Repair | 5.0★ Rated | Rooval,58,"Trusted roofing contractor in Draper, UT. Rooval Roofing specializes in roof replacement, metal roofing, and gutter services. Call for a free inspection today.",159,https://rooval-roofing.com/roofing-draper-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
25,https://rooval-roofing.com/roofing-provo-utah/,200,Provo Roof Repair & Replacement | 5.0★ Rated | Rooval Roofing,61,"Need a roofer in Provo, UT? Rooval Roofing offers roof repair, replacement, and metal roofing in Provo. Free inspections, workmanship warranty. Call (385) 424-8810.",164,https://rooval-roofing.com/roofing-provo-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
26,https://rooval-roofing.com/roofing-lehi-utah/,200,Lehi Roofing Contractor | Roof Repair & Inspections | Rooval,60,"Lehi's hometown 5.0★ Google-rated roofing contractor. Roof repair, inspections & free estimates from your neighbors. Call (385) 424-8810 today.",143,https://rooval-roofing.com/roofing-lehi-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
27,https://rooval-roofing.com/roofing-saratoga-springs-utah/,200,Saratoga Springs UT Roofing | Repair & Replacement | Rooval,59,"Saratoga Springs roofers 15 minutes away in Lehi. Wind & hail repairs, honest replacement pricing, free inspections. Call (385) 424-8810 to schedule today.",155,https://rooval-roofing.com/roofing-saratoga-springs-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
28,https://rooval-roofing.com/roofing-bluffdale-utah/,200,Bluffdale UT Roofing | Repair & Replacement | Rooval,52,Bluffdale roofing pros who know Point of the Mountain wind. Repairs & replacements from a Lehi crew. Call (385) 424-8810 to get your free roof inspection.,154,https://rooval-roofing.com/roofing-bluffdale-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
29,https://rooval-roofing.com/roofing-orem-utah/,200,Orem UT Roof Repair & Roofing | 5.0★ Rated | Rooval Roofing,59,"Rooval Roofing serves Orem, UT with expert roof repair, replacement, gutter services, and metal roofing. Licensed & insured. Get your free estimate today.",154,https://rooval-roofing.com/roofing-orem-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
30,https://rooval-roofing.com/roofing-american-fork-utah/,200,American Fork UT Roofing | Repair & Replacement | Rooval,56,"American Fork roofing from a Lehi crew ten minutes away - canyon wind and hail repairs, honest replacement quotes. Call (385) 424-8810 for a free inspection.",157,https://rooval-roofing.com/roofing-american-fork-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
31,https://rooval-roofing.com/roofing-eagle-mountain-utah/,200,Eagle Mountain UT Roofing | Repair & Replacement | Rooval,57,"Eagle Mountain roofing by a local Lehi crew that knows Cedar Valley wind. Repairs, replacements, free inspections. Call Rooval Roofing at (385) 424-8810.",153,https://rooval-roofing.com/roofing-eagle-mountain-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
32,https://rooval-roofing.com/roof-replacement-utah/,200,Utah Roof Replacement | Honest Quotes | 5.0★ Rooval Roofing,59,"Honest roof replacement in Utah from a licensed Lehi crew. Real cost ranges, financing & a workmanship warranty. Call (385) 424-8810 for a free inspection.",155,https://rooval-roofing.com/roof-replacement-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
33,https://rooval-roofing.com/free-roof-inspection-utah/,200,Free Roof Inspection in Utah | Licensed Local Crew,50,"Storm or just wondering? We'll check your roof, photograph anything we find, and hand you a clear write-up. What you do next is up to you.",138,https://rooval-roofing.com/free-roof-inspection-utah/,True,True,True,True,1,False,0,1,page,page-sitemap
34,https://rooval-roofing.com/wind-damage-roof-repair-utah/,200,Wind Damage Roof Repair Utah | Free Inspections | Rooval,56,"A creased shingle can look fine, but its seal is broken. Free wind inspections, photo documentation, and warrantied repairs across the Wasatch Front.",149,https://rooval-roofing.com/wind-damage-roof-repair-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
35,https://rooval-roofing.com/storm-damage-roof-documentation-utah/,200,Storm Damage Roof Inspection & Documentation | Rooval,53,"See what Utah hail and wind damage looks like up close, how Rooval photographs and writes it up during a free inspection, and what you receive and keep.",152,https://rooval-roofing.com/storm-damage-roof-documentation-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
36,https://rooval-roofing.com/storm-damage-roof-history-utah/,200,Utah Storm History: 10 Years of Hail and Wind Data for Salt Lake and Utah Counties - Rooval Roofing,99,"10 years of NOAA hail and wind records for Salt Lake and Utah Counties, in plain English - what actually hit your area and what it means for your roof.",151,https://rooval-roofing.com/storm-damage-roof-history-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
37,https://rooval-roofing.com/hail-damage-repair-utah/,200,Hail Damage Roof Repair Utah | Free Inspections | Rooval,56,"Bruised shingles hide from the driveway. Free hail damage inspections, photo documentation, and warrantied repairs across 16 Utah cities. (385) 424-8810.",153,https://rooval-roofing.com/hail-damage-repair-utah/,True,True,True,True,1,True,1,1,page,page-sitemap
38,https://rooval-roofing.com/blog/,200,Utah Roofing Blog | Tips & Guides | Rooval Roofing,50,"Practical roofing advice for Utah homeowners from a local 5.0-star crew — hail damage, metal vs. asphalt, roof lifespans, gutters, and choosing a contractor.",157,https://rooval-roofing.com/blog/,True,True,True,True,1,False,0,1,page,page-sitemap
39,https://rooval-roofing.com/service-areas/,200,Roofing Service Areas Across Utah - Rooval Roofing,50,Roof repair & replacement across Utah County & Salt Lake County — 12 cities served from our Lehi shop by a 5.0★ rated local crew. Free estimates: (385) 424-8810.,161,https://rooval-roofing.com/service-areas/,True,True,True,True,1,False,0,1,page,page-sitemap
40,https://rooval-roofing.com/contact-us/,200,Contact Us - Rooval Roofing,27,"Contact Rooval Roofing for a free roof inspection or estimate. Serving Lehi, Provo, Orem, Salt Lake City, and all of Utah County. Call (385) 424-8810 today.",156,https://rooval-roofing.com/contact-us/,True,True,True,True,1,False,0,1,page,page-sitemap
41,https://rooval-roofing.com/roof-tune-up/,200,"Roof Tune-Up & Repair in Lehi, UT | Rooval Roofing",50,"Not sure you need a new roof? Get an affordable roof tune-up or repair in Lehi & Utah County from Rooval Roofing. Honest inspections, fast leak fixes. Free quote.",162,https://rooval-roofing.com/roof-tune-up/,True,True,True,True,1,False,0,1,page,page-sitemap
42,https://rooval-roofing.com/our-services/,200,Our Services - Rooval Roofing,29,"Rooval Roofing offers full roofing services across Utah — roof installation, repair, replacement, metal roofing, gutters, and storm damage help. Free estimate available.",169,https://rooval-roofing.com/our-services/,True,True,True,True,1,False,0,1,page,page-sitemap
43,https://rooval-roofing.com/about-us/,200,About Us - Rooval Roofing,25,"Meet the Rooval Roofing team. Family-owned, licensed, and insured with 15+ years of Utah roofing experience. We treat every home like our own. Call (385) 424-8810.",163,https://rooval-roofing.com/about-us/,True,True,True,True,1,False,0,1,page,page-sitemap
44,https://rooval-roofing.com/terms-and-conditions/,200,Terms and Conditions - Rooval Roofing,37,"Please read these Terms and Conditions carefully before using rooval-roofing.com (the ""Site"") or requesting services from Rooval Roofing (""Company,"" ""we,""",154,https://rooval-roofing.com/terms-and-conditions/,True,True,True,True,1,False,0,1,page,page-sitemap
45,https://rooval-roofing.com/privacy-policy/,200,Privacy Policy - Rooval Roofing,31,"Rooval Roofing (""we,"" ""our,"" or ""us"") is committed to protecting your privacy. This Privacy Policy explains how we collect, use, and safeguard information",154,https://rooval-roofing.com/privacy-policy/,True,True,True,True,1,False,0,1,page,page-sitemap
46,https://rooval-roofing.com/sitemap/,200,Sitemap - Rooval Roofing,24,Use this page to find any section of the Rooval Roofing website quickly.,72,https://rooval-roofing.com/sitemap/,True,True,True,True,1,False,0,1,page,page-sitemap
47,https://rooval-roofing.com/category/blog/,200,Blog - Rooval Roofing,21,Your blog category,18,https://rooval-roofing.com/category/blog/,True,True,True,True,1,False,0,1,category-archive,category-sitemap
48,https://rooval-roofing.com/nonexistent-404-test-xyz/,404,Page Not Found - Rooval Roofing,31,,0,,,True,True,True,1,False,0,1,404-test,extra-404-test
